country,year,ip,fb,mb
CAN,Jan 2008,76.7,29.46,66.14
CAN,Jan 2009,80.3,30.45,70.47
CAN,Jan 2010,80.3,31.66,75.58
CAN,Jan 2011,83,32.67,77.71
CAN,Jan 2012,83,33.49,79.43
CAN,Jan 2013,85.8,34.31,80.44
CAN,Jan 2014,87.12,35.3,80.86
CAN,Jan 2015,88.47,36.48,82.8
CAN,Jan 2016,91.16,36.89,84.74
CAN,Jan 2017,92.7,38.02,86.54
EUU,Jan 2008,64.22,22.76,120.96
EUU,Jan 2009,67.28,24.75,120.88
EUU,Jan 2010,70.71,26.37,118.57
EUU,Jan 2011,71.63,27.88,121.36
EUU,Jan 2012,73.83,28.86,123.34
EUU,Jan 2013,75.69,30.05,124.57
EUU,Jan 2014,77.31,31.16,123.29
EUU,Jan 2015,77.27,32.3,122.15
EUU,Jan 2016,79.26,33.42,122.99
EUU,Jan 2017,80.64,34.54,123.52
FRA,Jan 2008,70.68,28.61,93.01
FRA,Jan 2009,71.58,31.67,92.39
FRA,Jan 2010,77.28,33.85,91.68
FRA,Jan 2011,77.82,35.91,94.43
FRA,Jan 2012,81.44,37.68,97.83
FRA,Jan 2013,81.92,39.02,99.07
FRA,Jan 2014,83.75,40.46,101.92
FRA,Jan 2015,78.01,41.68,103.45
FRA,Jan 2016,79.27,42.77,104.4
FRA,Jan 2017,80.5,43.72,106.21
DEU,Jan 2008,78,27.99,130.07
DEU,Jan 2009,79,30.83,129.68
DEU,Jan 2010,82,32.34,109.28
DEU,Jan 2011,81.27,33.68,112.31
DEU,Jan 2012,82.35,34.49,113.98
DEU,Jan 2013,84.17,35.25,123.1
DEU,Jan 2014,86.19,36.29,122.14
DEU,Jan 2015,84.4,37.58,117.93
DEU,Jan 2016,84.4,39.07,126.31
DEU,Jan 2017,84.4,40.47,133.59
ITA,Jan 2008,44.53,18.95,151.83
ITA,Jan 2009,48.83,20.26,150.96
ITA,Jan 2010,53.68,21.93,156.82
ITA,Jan 2011,54.39,22.62,160.71
ITA,Jan 2012,55.83,23.04,162.7
ITA,Jan 2013,58.46,23.48,162.34
ITA,Jan 2014,55.64,24.14,150.9
ITA,Jan 2015,58.14,25.04,147.37
ITA,Jan 2016,61.3,26.19,144.63
ITA,Jan 2017,61.3,27.94,141.29
JPN,Jan 2008,75.4,23.43,85.88
JPN,Jan 2009,78,25.56,90.46
JPN,Jan 2010,78.21,26.53,95.9
JPN,Jan 2011,79.05,27.78,103.31
JPN,Jan 2012,79.5,28.13,109.89
JPN,Jan 2013,88.22,28.77,115.26
JPN,Jan 2014,89.11,29.49,123.17
JPN,Jan 2015,91.06,30.38,125.46
JPN,Jan 2016,93.18,31.16,130.61
JPN,Jan 2017,90.87,31.79,135.54
GBR,Jan 2008,78.39,27.89,120.72
GBR,Jan 2009,83.56,28.5,121.94
GBR,Jan 2010,85,30.25,121.2
GBR,Jan 2011,85.38,32.26,120.92
GBR,Jan 2012,87.48,33.75,121.91
GBR,Jan 2013,89.84,35.64,121.71
GBR,Jan 2014,91.61,36.5,120.68
GBR,Jan 2015,92,37.75,121.18
GBR,Jan 2016,94.62,38.68,119.98
GBR,Jan 2017,94.62,39.31,119.53
USA,Jan 2008,74,25.42,86.13
USA,Jan 2009,71,26.13,89.61
USA,Jan 2010,71.69,27.39,92.38
USA,Jan 2011,69.73,28.39,95.61
USA,Jan 2012,74.7,29.53,97.29
USA,Jan 2013,71.4,30.43,98.47
USA,Jan 2014,73,30.79,111.89
USA,Jan 2015,74.55,31.95,119.5
USA,Jan 2016,75.23,33,120.24
USA,Jan 2017,75.23,33.85,120.69
